player,overs,balls,maidens,runs,wickets,run_rate,0s,4s,6s,wd,nb,team,opponent,innings
Kuldeep Yadav,10,60,0,42,2,4.2,31,2,1,0,0,India,Australia,1
Ravindra Jadeja,10,60,2,28,3,2.8,38,2,0,0,0,India,Australia,1
David Willey,10,60,1,48,1,4.8,31,4,0,1,0,England,Australia,1
Chris Woakes,9.3,57,0,54,4,5.68,31,5,1,0,0,England,Australia,1
Mark Wood,10,60,0,70,2,7,27,9,0,3,0,England,Australia,1
Liam Livingstone,6,36,0,42,1,7,10,2,1,0,0,England,Australia,1
Moeen Ali,4,24,0,28,0,7,9,4,0,0,0,England,Australia,1
Adil Rashid,10,60,0,38,2,3.8,34,1,1,0,0,England,Australia,1
Josh Hazlewood,7,42,1,21,0,3,29,2,0,0,0,Australia,Bangladesh,1
Pat Cummins,8,48,0,56,0,7,22,7,0,4,0,Australia,Bangladesh,1
Sean Abbott,10,60,0,61,2,6.1,29,4,2,0,1,Australia,Bangladesh,1
Mitchell Marsh,4,24,0,48,0,12,8,6,2,2,1,Australia,Bangladesh,1
Adam Zampa,10,60,0,32,2,3.2,39,2,1,0,0,Australia,Bangladesh,1
Travis Head,6,36,0,33,0,5.5,14,2,1,0,0,Australia,Bangladesh,1
Marcus Stoinis,5,30,0,45,1,9,4,4,0,2,0,Australia,Bangladesh,1
Mustafizur Rahman,10,60,0,70,0,7,26,6,3,0,0,Bangladesh,England,1
Taskin Ahmed,6,36,0,38,1,6.33,19,4,1,2,0,Bangladesh,England,1
Shoriful Islam,10,60,0,75,3,7.5,25,11,0,1,0,Bangladesh,England,1
Mahedi Hasan,8,48,0,71,4,8.87,17,10,1,0,0,Bangladesh,England,1
Shakib Al Hasan,10,60,0,52,1,5.2,25,4,0,1,0,Bangladesh,England,1
Mehidy Hasan Miraz,6,36,0,55,0,9.16,10,6,2,0,0,Bangladesh,England,1
Chris Woakes,4,24,0,41,0,10.25,13,4,2,2,0,England,Afghanistan,1
Reece Topley,8.5,53,1,52,1,5.88,30,5,1,3,1,England,Afghanistan,1
Sam Curran,4,24,0,46,0,11.5,9,5,2,0,2,England,Afghanistan,1
Adil Rashid,10,60,1,42,3,4.2,29,1,1,1,0,England,Afghanistan,1
Mark Wood,9,54,0,50,2,5.55,27,5,1,0,0,England,Afghanistan,1
Liam Livingstone,10,60,0,33,1,3.3,31,1,0,0,0,England,Afghanistan,1
Joe Root,4,24,0,19,1,4.75,16,2,1,0,0,England,Afghanistan,1
Dilshan Madushanka,5,30,0,37,0,7.4,18,7,0,0,0,Sri Lanka,England,1
Kasun Rajitha,7,42,0,36,2,5.14,25,5,0,1,0,Sri Lanka,England,1
Maheesh Theekshana,8.2,50,1,21,1,2.52,36,1,0,3,0,Sri Lanka,England,1
Angelo Mathews,5,30,1,14,2,2.8,17,0,0,0,0,Sri Lanka,England,1
Lahiru Kumara,7,42,0,35,3,5,25,4,1,0,0,Sri Lanka,England,1
Dhananjaya de Silva,1,6,0,10,0,10,2,2,0,0,0,Sri Lanka,England,1
Aryan Dutt,10,60,2,62,2,6.2,31,3,3,1,0,Netherlands,New Zealand,1
Ryan Klein,7,42,1,41,0,5.85,25,7,0,1,0,Netherlands,New Zealand,1
Paul van Meekeren,9,54,0,59,2,6.55,28,7,2,0,1,Netherlands,New Zealand,1
Roelof van der Merwe,9,54,0,56,2,6.22,20,5,1,0,0,Netherlands,New Zealand,1
Colin Ackermann,4,24,0,28,0,7,9,1,2,0,0,Netherlands,New Zealand,1
Bas de Leede,10,60,0,64,1,6.4,28,6,2,0,1,Netherlands,New Zealand,1
Vikramjit Singh,1,6,0,9,0,9,1,1,0,0,0,Netherlands,New Zealand,1
Mitchell Starc,9,54,0,70,1,7.77,26,4,4,5,0,Australia,Afghanistan,1
Josh Hazlewood,9,54,0,39,2,4.33,30,2,1,1,0,Australia,Afghanistan,1
Glenn Maxwell,10,60,0,55,1,5.5,24,2,1,0,1,Australia,Afghanistan,1
Pat Cummins,8,48,0,47,0,5.87,25,5,1,1,0,Australia,Afghanistan,1
Adam Zampa,10,60,0,58,1,5.8,22,2,2,2,0,Australia,Afghanistan,1
Travis Head,3,18,0,15,0,5,7,1,0,0,0,Australia,Afghanistan,1
Marcus Stoinis,1,6,0,2,0,2,4,0,0,0,0,Australia,Afghanistan,1
Marco Jansen,9,54,1,43,3,4.77,40,5,0,6,2,South Africa,Pakistan,1
Lungi Ngidi,7.4,46,0,45,1,5.86,26,6,0,3,0,South Africa,Pakistan,1
Aiden Markram,4,24,0,20,0,5,12,2,0,0,0,South Africa,Pakistan,1
Keshav Maharaj,9,54,0,56,0,6.22,30,4,4,0,0,South Africa,Pakistan,1
Gerald Coetzee,7,42,0,42,2,6,20,4,1,1,0,South Africa,Pakistan,1
Tabraiz Shamsi,10,60,0,60,4,6,28,2,3,1,2,South Africa,Pakistan,1
Trent Boult,10,60,1,49,1,4.9,35,5,1,2,0,New Zealand,South Africa,1
Matt Henry,5.3,33,0,31,0,5.63,20,4,1,1,0,New Zealand,South Africa,1
Tim Southee,10,60,0,77,2,7.7,19,6,3,1,0,New Zealand,South Africa,1
Mitchell Santner,10,60,0,58,0,5.8,18,2,1,2,0,New Zealand,South Africa,1
Glenn Phillips,7,42,0,52,0,7.42,15,2,3,2,0,New Zealand,South Africa,1
Rachin Ravindra,2,12,0,17,0,8.5,6,2,1,0,0,New Zealand,South Africa,1
James Neesham,5.3,33,0,69,1,12.54,7,5,5,0,0,New Zealand,South Africa,1
Kasun Rajitha,10,60,1,90,1,9,24,8,5,2,0,Sri Lanka,South Africa,1
Dilshan Madushanka,10,60,0,86,2,8.6,25,12,1,3,1,Sri Lanka,South Africa,1
Dasun Shanaka,6,36,0,36,0,6,10,1,1,0,0,Sri Lanka,South Africa,1
